bay_id,st_marker_id,status,location,lat,lon
280,9637,Present,"-37.80503386587226, 144.94835718315483",-37.80503386587226,144.94835718315483
281,9639,Unoccupied,"-37.80504021585325, 144.94841368401097",-37.80504021585325,144.94841368401097
282,9648,Unoccupied,"-37.80505914239434, 144.94858267535324",-37.80505914239434,144.94858267535324
283,10711,Unoccupied,"-37.80345593211952, 144.95118021673983",-37.80345593211952,144.95118021673983
284,10728,Present,"-37.80465544027787, 144.95096804430446",-37.80465544027787,144.95096804430446
285,10729,Present,"-37.80470464522185, 144.95095940201463",-37.80470464522185,144.95095940201463
286,10880,Unoccupied,"-37.8054006142369, 144.95029616206278",-37.8054006142369,144.95029616206278
287,10885,Unoccupied,"-37.80541605636679, 144.95043217582293",-37.80541605636679,144.95043217582293
288,10886,Unoccupied,"-37.80541913604876, 144.95045937076037",-37.80541913604876,144.95045937076037
289,10891,Unoccupied,"-37.805497479649645, 144.95027903515773",-37.805497479649645,144.9502790351577
290,10893,Unoccupied,"-37.8055037114113, 144.95033343173844",-37.8055037114113,144.95033343173844
291,10895,Unoccupied,"-37.805509971481925, 144.950387815196",-37.805509971481925,144.950387815196
292,10896,Unoccupied,"-37.805513050724684, 144.95041502074173",-37.80551305072469,144.95041502074173
293,10897,Unoccupied,"-37.80551613042146, 144.9504422245871",-37.80551613042146,144.9504422245871
294,10902,Unoccupied,"-37.80543493641106, 144.95012179539975",-37.80543493641106,144.95012179539975
295,10905,Present,"-37.80550150661396, 144.95011084437948",-37.80550150661396,144.95011084437948
296,11176,Unoccupied,"-37.80312609541965, 144.9482243581782",-37.80312609541965,144.9482243581782
297,11177,Unoccupied,"-37.80317835677377, 144.94821497276428",-37.80317835677377,144.94821497276428
298,11481,Unoccupied,"-37.80312960490454, 144.95044460536147",-37.80312960490454,144.95044460536147
299,11482,Unoccupied,"-37.80313294564665, 144.95047448426317",-37.80313294564665,144.95047448426317
300,11483,Unoccupied,"-37.80313640332893, 144.95050601212915",-37.80313640332893,144.95050601212915
301,11486,Unoccupied,"-37.803150168711376, 144.95063377016612",-37.803150168711376,144.95063377016612
302,11489,Unoccupied,"-37.80316117333615, 144.95073161921133",-37.80316117333615,144.95073161921133
303,11490,Unoccupied,"-37.80316457905845, 144.95076197518517",-37.80316457905845,144.95076197518517
304,11491,Unoccupied,"-37.80316785886863, 144.95079120739746",-37.80316785886863,144.95079120739746
